"codestra-agent-desktop-preview","","","codestra/agent-desktop:preview-6101","sha256:9d01eff55f0f823d9faae1c51ffe71685663c24bc0bbdbb9da49bfe39f22e791","none","unless-stopped","codestra_edge","80/tcp","",""
"codestra-agent-desktop-sipjs-staging","","","ghcr.io/codestra-srl/codestra-agent-desktop@sha256:c13d32c0780b4d56934888d32193b4d5f052c7671eba01f1ff6a257f6440a0d7","sha256:c13d32c0780b4d56934888d32193b4d5f052c7671eba01f1ff6a257f6440a0d7","none","unless-stopped","codestra_edge","8080/tcp","","9118e5bc01f9ce4a52add8753c096d061cd84848"
"codestra-appolon-middleware-integration-api-1","appolon-middleware-integration-api","codestra","ghcr.io/appolon1908-hue/codestra-middleware@sha256:695fa3ce3f50ba4d0ae0784976b946a0a683ca731155e4bd3bd9e90a4670b820","sha256:695fa3ce3f50ba4d0ae0784976b946a0a683ca731155e4bd3bd9e90a4670b820","healthy","unless-stopped","codestra-identity_identity_service;codestra-kong_kong_backend;codestra_backend","","","f6748a58f8d2590520a4f28776770957061cdea1"
"codestra-backup-1","backup","codestra","postgres@sha256:ef257d85f76e48da1c64832459b59fcaba1a4dac97bf5d7450c77753542eee94","sha256:ef257d85f76e48da1c64832459b59fcaba1a4dac97bf5d7450c77753542eee94","healthy","unless-stopped","codestra_backend","","/opt/codestra/backups:/backups;codestra_postgres_data:/source/postgres;codestra_odoo_data:/source/odoo;codestra_n8n_data:/source/n8n;624467b48b797b0acadd9632052fdeeb22e94c9b295d3166d2e3a60b79b6a0ef:/var/lib/postgresql/data;/opt/codestra:/source/config",""
"codestra-beyvra-email-api-1","api","codestra-beyvra-email","codestra/beyvra-email:canonical-co-20260820","sha256:a226db03c6fce98f81c02e78bab96a2beb452a27dd79308c921e85bfa664aa52","healthy","unless-stopped","codestra_backend;codestra_edge","","/secrets/[REDACTED]/database-url:/run/secrets/[REDACTED];/secrets/[REDACTED]/postal-webhook-secret:/run/secrets/[REDACTED];/secrets/[REDACTED]/postal-webhook-token:/run/secrets/[REDACTED];/secrets/[REDACTED]/provider-webhook-secret:/run/secrets/[REDACTED]",""
"codestra-caddy-upstream-gateway","upstream-gateway","caddy-upstream-gateway","caddy:2.11.4-alpine","sha256:5f5c8640aae01df9654968d946d8f1a56c497f1dd5c5cda4cf95ab7c14d58648","healthy","unless-stopped","codestra-identity-staging_service;codestra-identity_identity_service;codestra-n8n-staging_edge;codestra_backend;codestra_edge","18101/tcp;18102/tcp;18103/tcp;18104/tcp;18105/tcp;18106/tcp;18107/tcp;18108/tcp;18109/tcp;18110/tcp;18111/tcp;18112/tcp;18113/tcp;18114/tcp;18115/tcp;18116/tcp","/opt/codestra/caddy-upstream-gateway/Caddyfile:/etc/caddy/Caddyfile",""
"codestra-email-reseller-api-1","api","codestra-email-reseller","codestra-email-reseller-api","sha256:8d7bb50e8787c110a7930fadb0c69a44ba075c70cb5e035118d9f334b1211e08","healthy","unless-stopped","codestra_backend;codestra_edge","8080/tcp","/etc/codestra/mtls/clients/klyrow:/run/codestra-mtls/klyrow;/secrets/[REDACTED]/email-database-url:/run/secrets/[REDACTED];/opt/codestra/safety/live-delivery-admission.sh:/usr/local/bin/live-delivery-admission",""
"codestra-identity-auth-gateway-1","auth-gateway","codestra-identity","quay.io/oauth2-proxy/oauth2-proxy@sha256:aa0bd8dd5ab0c78e4c91c92755ad573a5f92241f88138b4141b8ec803463b4fd","sha256:aa0bd8dd5ab0c78e4c91c92755ad573a5f92241f88138b4141b8ec803463b4fd","healthy","unless-stopped","codestra-identity_identity_service;codestra_backend;codestra_edge","","/opt/codestra/identity-platform/gateway/oauth2-proxy.cfg:/etc/oauth2-proxy/oauth2-proxy.cfg",""
"codestra-identity-identity-db-1","identity-db","codestra-identity","postgres@sha256:ef257d85f76e48da1c64832459b59fcaba1a4dac97bf5d7450c77753542eee94","sha256:ef257d85f76e48da1c64832459b59fcaba1a4dac97bf5d7450c77753542eee94","healthy","unless-stopped","codestra-identity_identity_db","","/secrets/[REDACTED]/postgres_password:/run/secrets/[REDACTED];codestra-identity_identity_postgres_data:/var/lib/postgresql/data",""
"codestra-identity-keycloak-1","keycloak","codestra-identity","quay.io/keycloak/keycloak@sha256:2eb3cd316835c990e69e26ade292ffa78f6fb0db7d5fc6377463c162e1979ac0","sha256:2eb3cd316835c990e69e26ade292ffa78f6fb0db7d5fc6377463c162e1979ac0","healthy","unless-stopped","codestra-identity_identity_db;codestra-identity_identity_service","","/opt/codestra/identity-platform/realms/codestra-realm.json:/opt/keycloak/data/import/codestra-realm.json;/secrets/[REDACTED]/keycloak.conf:/run/secrets/[REDACTED]","df15afa5a3a8a2b10021f879ffa93b30fb36c73a"
